brand,model_family_clean,model_firstreg_total_2014_2026,model_firstreg_year_span,model_firstreg_peak_year,model_firstreg_peak_count,model_firstreg_recent_share,model_firstreg_old_share,model_firstreg_weighted_year
maxus,euniq,295,4.0,2022.0,127,1.0,0.0,2022.5898305084745
maxus,mifa,6,1.0,2023.0,5,1.0,0.0,2023.1666666666667
mazda,2,2219,11.0,2018.0,330,0.40513744930148715,0.42091031996394773,2019.8386660657955
mazda,3,4734,11.0,2014.0,778,0.18124207858048164,0.6465990705534431,2017.6516687790452
mazda,5,8,0.0,2014.0,8,0.0,1.0,2014.0
mazda,6,2413,11.0,2014.0,483,0.08785743887277249,0.7505180273518441,2016.891835888935
mazda,6e,77,0.0,2025.0,77,1.0,0.0,2025.0
mazda,cx-3,1933,7.0,2016.0,502,0.04862907397827212,0.7640972581479566,2017.3036730470772
mazda,cx-30,1538,6.0,2021.0,386,0.6924577373211963,0.0,2021.6788036410924
mazda,cx-5,2042,11.0,2014.0,451,0.14985308521057786,0.7399608227228207,2017.1082272282076
mazda,cx-60,658,3.0,2023.0,304,1.0,0.0,2023.387537993921
mazda,cx-80,104,1.0,2025.0,81,1.0,0.0,2024.7788461538462
mazda,mx-30,243,4.0,2024.0,125,0.8930041152263375,0.0,2022.6131687242798
mazda,mx-5,115,11.0,2019.0,23,0.43478260869565216,0.30434782608695654,2020.2347826086957
mercedes-amg,amg,22,10.0,2024.0,5,0.45454545454545453,0.4090909090909091,2020.1818181818182
mercedes-amg,gt,2,1.0,2019.0,1,0.0,0.0,2019.5
mercedes-amg,v-klasse,1,0.0,2023.0,1,1.0,0.0,2023.0
mercedes-benz,a-sarja,8993,11.0,2019.0,1521,0.22328477704881575,0.48170799510730566,2018.2957856110309
mercedes-benz,b-sarja,2568,11.0,2015.0,483,0.117601246105919,0.6962616822429907,2017.01246105919
mercedes-benz,c-sarja,11304,11.0,2015.0,1600,0.1932059447983015,0.6094302901627743,2017.9158704883228
mercedes-benz,citan,149,11.0,2016.0,42,0.12751677852348994,0.7583892617449665,2017.1543624161075
mercedes-benz,cla-sarja,6076,11.0,2016.0,698,0.39614878209348253,0.4152402896642528,2019.410961158657
mercedes-benz,cle,71,1.0,2024.0,38,1.0,0.0,2024.4647887323943
mercedes-benz,cls-sarja,201,10.0,2015.0,49,0.04477611940298507,0.7114427860696517,2016.960199004975
mercedes-benz,e-sarja,10382,11.0,2017.0,1594,0.24012714313234446,0.5697360816798305,2018.301964939318
mercedes-benz,electric drive,6,1.0,2015.0,5,0.0,1.0,2015.1666666666667
mercedes-benz,eqa,1711,4.0,2023.0,563,1.0,0.0,2023.5242548217416
mercedes-benz,eqb,1363,4.0,2025.0,404,1.0,0.0,2023.7314746881877
mercedes-benz,eqc,459,5.0,2021.0,137,0.775599128540305,0.0,2021.492374727669
