brand,brand_total_registered,brand_median_vehicle_age,brand_mean_vehicle_age,brand_median_mileage,brand_mean_mileage,brand_median_engine_cc,brand_median_power_kw,brand_median_mass_kg,brand_share_of_market,brand_share_over_10y,brand_share_over_200k_km,brand_automatic_share,brand_petrol_share,brand_diesel_share,brand_ev_share,brand_hybrid_share,brand_turbo_share
think,3,15.0,15.0,23366.0,25511.0,,25.0,1115.0,1.1695623731512142e-06,1.0,0.0,0.6666666666666666,0.0,0.0,1.0,0.0,0.0
panther,3,41.0,40.66666666666666,67004.0,61913.0,1596.0,71.0,940.0,1.1695623731512142e-06,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
stx,3,7.0,7.0,66100.0,75155.66666666667,7698.0,290.0,,1.1695623731512142e-06,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
talbot-matra,3,43.0,33.0,193462.0,272379.6666666667,1592.0,67.5,1000.0,1.1695623731512142e-06,1.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0
renault dethlef,3,19.0,19.33333333333333,116906.0,156492.66666666666,2950.0,100.0,3110.0,1.1695623731512142e-06,1.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,1.0
citroen/dethlef,3,21.0,21.0,195663.0,222260.66666666663,2800.0,94.0,2740.0,1.1695623731512142e-06,1.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,1.0
westfield,3,36.0,41.66666666666666,12925.0,11498.0,1700.0,73.0,560.0,1.1695623731512142e-06,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
mercedes-benz-cento bus,3,6.0,6.333333333333333,223216.0,233634.3333333333,2143.0,120.0,2640.0,1.1695623731512142e-06,0.0,0.6666666666666666,0.3333333333333333,0.0,1.0,0.0,0.0,1.0
fiat rapido,3,18.0,18.666666666666668,205048.0,174979.66666666666,2800.0,107.0,3072.0,1.1695623731512142e-06,1.0,0.6666666666666666,0.0,0.0,1.0,0.0,0.0,1.0
fargo,3,57.0,49.333333333333336,26109.0,35314.0,1720.0,42.0,1400.0,1.1695623731512142e-06,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
fiat-heku,3,33.0,31.33333333333333,227643.0,187955.0,2480.0,55.0,2740.0,1.1695623731512142e-06,1.0,0.6666666666666666,0.0,0.0,1.0,0.0,0.0,0.3333333333333333
mb-adriamobil,3,22.0,22.0,183408.0,245220.0,2680.0,115.0,3132.0,1.1695623731512142e-06,1.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,1.0
carbodies,3,35.0,37.0,69259.0,153041.33333333334,2664.0,61.75,1660.0,1.1695623731512142e-06,1.0,0.3333333333333333,1.0,0.0,1.0,0.0,0.0,0.0
zaz,3,17.0,17.0,43304.0,46275.66666666666,880.0,29.0,690.0,1.1695623731512142e-06,0.6666666666666666,0.0,0.0,1.0,0.0,0.0,0.0,0.0
mustang,3,10.0,12.333333333333334,45760.0,36918.66666666666,4727.0,257.5,1565.0,1.1695623731512142e-06,0.3333333333333333,0.0,0.3333333333333333,1.0,0.0,0.0,0.0,0.6666666666666666
fiat-dethleffs/globecar,3,16.0,16.0,177894.0,178380.0,2287.0,88.0,2885.0,1.1695623731512142e-06,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
international,3,58.5,58.5,29691.0,42643.333333333336,3600.0,,1515.0,1.1695623731512142e-06,0.6666666666666666,0.0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0
erskine,3,0.0,0.0,73887.0,76671.0,2390.0,30.0,1130.0,1.1695623731512142e-06,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
vw-porsche,3,40.0,40.0,19135.0,15368.333333333334,1679.0,62.0,940.0,1.1695623731512142e-06,0.6666666666666666,0.0,0.0,1.0,0.0,0.0,0.0,0.0
maybach,3,22.0,23.33333333333333,6650.0,28462.666666666668,5513.0,405.0,2895.0,1.1695623731512142e-06,1.0,0.0,0.3333333333333333,1.0,0.0,0.0,0.0,0.6666666666666666
xgo,3,6.0,5.666666666666667,123301.0,116942.66666666669,2287.0,96.0,3044.0,1.1695623731512142e-06,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
