model_type,feature_variant,config_name,target_mode,feature_count,best_iteration,validation_MAE,validation_RMSE,validation_R2
xgboost,trusted_recommended_features_without_date_offsets,random_search_024,log,66,1735,27.700665196891872,91.45769051010056,0.9739806274052881
xgboost,trusted_registry_lifecycle_stack,random_search_003,raw,40,1057,27.757761045177,79.36250279657345,0.9804076256501729
xgboost,trusted_extended_traficom_stack,random_search_002,raw,62,1616,27.777605038016702,79.52533989642833,0.9803271433487286
xgboost,trusted_registry_lifecycle_stack_without_oem_number,random_search_016,log,39,1817,27.78767530795429,82.32703218429171,0.978916569386853
xgboost,trusted_recommended_features,random_search_008,raw,67,1243,27.796884826967318,72.71904718830811,0.9835504993372464
xgboost,trusted_recommended_features,raw_sqerror_reference,raw,67,1789,27.823501341183416,78.49772679251471,0.9808322772062069
xgboost,trusted_manual_all_features_usable_by_xgboost,random_search_002,raw,63,2064,27.908423408521852,83.9356077876751,0.978084628422648
xgboost,trusted_extended_traficom_stack,random_search_014,raw,62,2283,27.91344575221331,89.58528143373177,0.9750351084259006
xgboost,trusted_recommended_features_without_date_offsets,random_search_016,log,66,1817,28.01746502581622,80.94222961330422,0.9796198823946258
xgboost,trusted_recommended_features_without_date_offsets_without_oem_number,random_search_005,log,65,2065,28.147668760699357,109.35068358926338,0.9628037323498491
xgboost,trusted_recommended_features_without_date_offsets_without_oem_number,random_search_001,raw,65,977,28.28409332356699,89.79163458604816,0.9749199663592614
xgboost,trusted_recommended_features_without_date_offsets,random_search_003,raw,66,1832,28.31498979169847,77.66742987468783,0.981235619651067
xgboost,trusted_recommended_features_without_date_offsets,random_search_014,raw,66,2284,28.47321680135597,88.17114604079947,0.9758170470479951
xgboost,trusted_extended_traficom_stack,random_search_003,raw,62,1197,28.59558101764722,77.55248894194669,0.9812911178038913
xgboost,trusted_extended_traficom_stack,raw_sqerror_reference,raw,62,1799,28.66914802763574,76.93059727572307,0.9815899669598042
xgboost,trusted_recommended_features,random_search_017,raw,67,1170,28.68335297190981,95.21528587791184,0.9717986621873703
xgboost,trusted_manual_all_features_usable_by_xgboost,log_absoluteerror_balanced,log,63,2197,28.72568810253562,120.40509772729148,0.9549031602906374
xgboost,trusted_registry_lifecycle_stack_without_oem_number,random_search_005,log,39,2068,28.741275342294397,108.46307795521822,0.9634051299972295
xgboost,trusted_manual_all_features_usable_by_xgboost,raw_sqerror_reference,raw,63,1798,28.905396823194202,75.33493312283655,0.9823457540123024
xgboost,trusted_recommended_features,random_search_005,log,67,2069,29.540857120647804,108.78794200701103,0.9631855868730055
xgboost,trusted_manual_all_features_usable_by_xgboost,random_search_010,raw,63,405,29.589281525507417,107.39972111341604,0.9641191546281208
xgboost,trusted_registry_lifecycle_stack_without_oem_number,raw_absoluteerror_balanced,raw,39,1799,29.62568538207285,115.21111432171173,0.9587099780514542
xgboost,trusted_extended_traficom_stack,random_search_021,log,62,844,29.653683040447508,104.21884703347644,0.9662130578646465
xgboost,trusted_recommended_features,random_search_016,log,67,777,29.687664465923547,85.45205741287933,0.977285592822236
xgboost,trusted_recommended_features_without_date_offsets,random_search_020,raw,66,684,29.76116046668369,120.0003230256073,0.9552058613751307
xgboost,trusted_recommended_features,random_search_014,raw,67,2242,29.95598479023059,105.41630613573055,0.9654321835116432
xgboost,trusted_registry_lifecycle_stack_without_oem_number,log_absoluteerror_regularized,log,39,2591,30.004725790190935,126.16405754742668,0.9504860407243636
xgboost,trusted_extended_traficom_stack,random_search_010,raw,62,415,30.149157474985344,103.5721141773065,0.9666310883329341
xgboost,trusted_manual_all_features_usable_by_xgboost,random_search_021,log,63,762,30.373501006979712,106.30532650282437,0.9648466748766965
xgboost,trusted_extended_traficom_stack,random_search_005,log,62,2069,30.387040033455857,113.37695241331696,0.9600141882259434
xgboost,trusted_recommended_features,random_search_010,raw,67,346,30.452321188854988,112.67568591812848,0.9605073041524834
xgboost,trusted_extended_traficom_stack,log_absoluteerror_balanced,log,62,2175,30.468625664518555,133.43166668936195,0.9446172927868547
xgboost,trusted_registry_lifecycle_stack,random_search_010,raw,40,1013,30.596786779535815,99.265477938524,0.9693484221673183
xgboost,trusted_recommended_features_without_date_offsets,random_search_010,raw,66,671,30.684218172352296,98.55095128961867,0.9697881026101531
xgboost,trusted_extended_traficom_stack,random_search_017,raw,62,853,30.817573994556923,91.29150310588437,0.9740751008896197
xgboost,trusted_manual_all_features_usable_by_xgboost,random_search_005,log,63,2062,31.012738745540783,111.0335558247004,0.9616500452463065
xgboost,trusted_recommended_features_without_date_offsets,log_absoluteerror_balanced,log,66,2199,31.053949873554664,136.66940846159807,0.9418969421800669
xgboost,trusted_recommended_features,log_absoluteerror_balanced,log,67,2199,31.05593100030091,128.5600261222817,0.9485875543448979
xgboost,trusted_manual_all_features_usable_by_xgboost,random_search_017,raw,63,845,31.358897617626926,92.10503171967932,0.9736109915396174
xgboost,trusted_recommended_features_without_date_offsets,random_search_005,log,66,2066,31.620329856786476,117.87708549119536,0.9567769769757203
