seed,row_balance_score,price_balance_score,combined_score,max_row_pct_deviation,train_rows,train_row_pct,train_components,train_price_mean,train_price_median,validation_rows,validation_row_pct,validation_components,validation_price_mean,validation_price_median,test_rows,test_row_pct,test_components,test_price_mean,test_price_median
72,0.03268262520978382,1.1634179539087015,1.1961005791184853,0.016341312604893687,7923,69.9849836586874,484,306.78504354411206,118.0,1700,15.016341312604894,214,207.34694117647058,82.6,1698,14.998675028707712,188,166.35553592461721,94.7
6,0.03798251037894751,1.1651718515950684,1.203154361974016,0.01899125518947109,7925,70.00264994258458,483,295.3601009463722,124.9,1700,15.016341312604894,191,155.26176470588234,84.0,1696,14.981008744810529,212,271.78396226415094,76.7
65,0.34095927921561575,0.8634147930164665,1.2043740722320821,0.1704796396078052,7944,70.1704796396078,517,292.9254405840886,117.9,1689,14.91917675117039,181,209.13812907045588,83.8,1688,14.9103436092218,188,228.3088862559242,94.75
82,0.2526278597297029,0.964314544817672,1.216942404547375,0.12631392986484968,7939,70.12631392986485,494,281.3983499181257,117.9,1693,14.954509318964757,200,160.43425871234496,94.4,1689,14.91917675117039,192,331.546891651865,94.6
4,0.16429644024379364,1.0758488566796425,1.2401452969234361,0.08214822012189416,7934,70.0821482201219,505,230.09953365263422,106.2,1695,14.972175602861936,203,455.29321533923303,84.1,1692,14.945676177016164,178,276.765780141844,100.85
90,0.10334776079851693,1.1892266650697143,1.2925744258682312,0.051673880399258465,7921,69.96731737479021,513,300.8958591086984,121.4,1704,15.051673880399258,184,166.2654929577465,71.2,1696,14.981008744810529,189,235.20454009433965,94.4
68,0.16164649765922157,1.1515896116454205,1.313236109304642,0.0808232488296099,7933,70.07331507817331,466,300.2534854405647,118.6,1699,15.007508170656303,216,268.11889346674513,94.7,1689,14.91917675117039,204,135.0944345766726,71.0
64,0.2526278597297029,1.069851989579491,1.3224798493091938,0.12631392986484968,7939,70.12631392986485,509,302.95004408615694,117.9,1690,14.928009893118983,182,222.01668639053256,84.5,1692,14.945676177016164,195,168.61158392434987,94.4
95,0.1642964402437901,1.1587105854280348,1.323007025671825,0.08214822012189416,7934,70.0821482201219,483,281.2060877237207,121.2,1694,14.963342460913347,204,170.376800472255,70.8,1693,14.954509318964757,199,322.452451269935,94.8
31,0.005299885169158358,1.3299931118736172,1.3352929970427756,0.002649942584582732,7925,70.00264994258458,471,316.2434952681388,118.4,1698,14.998675028707712,204,175.61142520612486,95.75,1698,14.998675028707712,211,153.8289163722026,85.15
59,0.08568147690132655,1.256717598042099,1.3423990749434256,0.04284073845066594,7920,69.95848423284163,536,307.05955808080813,106.8,1698,14.998675028707712,177,189.5040636042403,115.2,1703,15.042840738450666,173,183.1648854961832,71.2
93,0.48228955039308197,0.9103520060874243,1.3926415564805064,0.24114477519654542,7952,70.24114477519655,486,262.2359532193159,113.0,1685,14.883844183376027,185,220.20557863501486,83.0,1684,14.875011041427436,215,361.800890736342,106.4
7,0.0680151930041486,1.329229358346983,1.3972445513511316,0.03400759650207519,7923,69.9849836586874,478,317.4835542092642,118.5,1702,15.034007596502075,196,147.00663924794358,94.7,1696,14.981008744810529,212,176.88201650943398,88.9
49,0.03268262520979093,1.3783645484608302,1.4110471736706212,0.016341312604893687,7924,69.99381680063598,515,312.1582407874811,119.0,1697,14.98984188675912,191,178.14060106069533,82.6,1700,15.016341312604894,180,170.45464705882355,85.4
17,0.2879604275240695,1.138902953656008,1.4268633811800775,0.14398021376203474,7941,70.14398021376203,476,306.01430550308527,118.4,1690,14.928009893118983,207,160.54863905325445,94.9,1690,14.928009893118983,203,215.52224852071004,84.1
63,0.04769896652239858,1.391493873406373,1.4391928399287717,0.023849483261201954,7922,69.9761505167388,476,294.36123453673315,123.9,1699,15.007508170656303,208,116.46238964096527,72.4,1700,15.016341312604894,202,315.18829411764705,94.7
0,0.37629184700997875,1.0653815500738328,1.4416733970838116,0.18814592350499026,7946,70.18814592350499,470,278.23934054870375,129.8,1694,14.963342460913347,215,302.67131050767415,85.55000000000001,1681,14.848511615581664,201,203.45294467578825,77.3
11,0.2446780319759796,1.1995657144254086,1.4442437464013882,0.12233901598798802,7922,69.9761505167388,481,289.9468442312547,124.2,1687,14.90151046727321,212,151.90130409010078,70.8,1712,15.122339015987988,193,299.3008177570093,95.2
25,0.12896387244943952,1.3204016465853745,1.449365519034814,0.06448193622472331,7932,70.06448193622472,467,303.5207135653051,124.2,1697,14.98984188675912,222,243.70111962286387,90.0,1692,14.945676177016164,197,144.52263593380613,71.1
51,0.3860083031534334,1.1050889553239251,1.4910972584773585,0.1930041515767158,7914,69.90548538115007,498,286.1021101844832,118.5,1687,14.90151046727321,182,307.4956727919384,88.7,1720,15.193004151576716,206,164.33843023255812,78.1
71,0.030032682625208196,1.463706709483084,1.4937393921082922,0.015016341312602322,7923,69.9849836586874,481,315.7291556228701,117.9,1699,15.007508170656303,194,170.46409652736904,106.6,1699,15.007508170656303,211,161.5531489111242,71.2
50,0.07331507817330873,1.4697586139173944,1.543073692090703,0.03665753908665259,7928,70.02914936843035,483,312.48656659939456,124.9,1694,14.963342460913347,185,192.58955135773317,94.7,1699,15.007508170656303,218,154.19611536197763,70.8
78,0.20934546418161126,1.3393287831144645,1.5486742472960757,0.10467273209080474,7924,69.99381680063598,483,304.0692958101969,129.7,1687,14.90151046727321,203,224.15168938944873,94.4,1710,15.104672732090805,200,162.59087719298248,71.05
52,0.3409592792156122,1.2415327051671992,1.5824919843828114,0.1704796396078052,7944,70.1704796396078,518,309.7778449144008,118.6,1693,14.954509318964757,195,214.5479031305375,82.6,1684,14.875011041427436,173,143.41722090261283,94.4
29,0.030032682625208196,1.5971079247997158,1.627140607424924,0.015016341312602322,7923,69.9849836586874,484,310.7481383314401,129.8,1699,15.007508170656303,195,170.11035903472632,83.0,1699,15.007508170656303,207,185.13502060035316,70.8
61,0.5626711421252573,1.0813312468404312,1.6440023889656885,0.28133557106262685,7914,69.90548538115007,514,287.18971443012384,128.85000000000002,1677,14.813179047787298,174,302.868992248062,83.7,1730,15.281335571062627,198,164.675549132948,94.4
44,0.26234431587316465,1.3999816270354577,1.6623259429086223,0.13117215793657877,7915,69.91431852309866,475,312.65027163613394,118.6,1693,14.954509318964757,221,171.09935026580035,82.9,1713,15.131172157936579,190,175.90268534734383,83.3
12,0.1642964402437901,1.5251943971936481,1.6894908374374382,0.08214822012189416,7934,70.0821482201219,489,308.44940761280566,127.4,1694,14.963342460913347,213,178.76558441558444,82.9,1693,14.954509318964757,184,186.38682811577084,71.2
24,0.1210140446956931,1.6506570567804626,1.7716711014761557,0.060507022347849215,7920,69.95848423284163,498,308.1051136363636,141.5,1696,14.981008744810529,195,168.93944575471698,94.4,1705,15.06050702234785,193,198.7716129032258,60.1
53,0.6156699938168018,1.2054165750764212,1.821086568893223,0.3078349969084009,7906,69.83482024556135,490,261.44710346572225,118.0,1682,14.857344757530253,183,195.3087990487515,106.2,1733,15.3078349969084,213,386.6758222735141,76.9
