seed,split,mean,median,std,min,max,p25,p75
67,train,281.88609672938503,117.9,608.4411817146935,5.9,4641.0,59.0,236.8
67,validation,210.71632533645408,82.8,444.7558966403089,5.9,3064.3,47.4,207.5
67,test,279.53290017720025,85.2,712.0464128502248,5.9,4641.0,53.3,213.5
68,train,300.2534854405647,118.6,658.6198985002427,5.9,4641.0,59.0,237.1
68,validation,268.11889346674513,94.7,601.8456715159217,5.9,4391.1,56.1,214.2
68,test,135.0944345766726,71.0,154.7970311654371,5.9,952.0,47.4,177.0
69,train,291.7938651855592,118.3,620.5355175732142,5.9,4641.0,59.0,236.8
69,validation,223.70253388332353,94.7,551.1736824011481,11.8,4343.5,47.4,200.6
69,test,219.97955346651,83.0,572.3696771375655,5.9,4641.0,53.1,177.75
70,train,286.22312452639557,112.0,604.7090388478204,5.9,4343.5,59.0,237.2
70,validation,219.3306971294669,94.9,519.4367422824301,11.8,4641.0,59.0,204.05
70,test,250.53490566037738,83.3,674.787763602542,11.8,4641.0,47.4,181.65
71,train,315.7291556228701,117.9,682.3108031025358,5.9,4641.0,59.0,237.2
71,validation,170.46409652736904,106.6,302.3965164133362,5.9,4641.0,59.0,212.65
71,test,161.5531489111242,71.2,374.007962862087,11.8,4391.1,47.4,147.5
72,train,306.78504354411206,118.0,672.4469506633267,5.9,4641.0,57.9,236.8
72,validation,207.34694117647058,82.6,514.9719411969793,11.8,4641.0,47.6,177.9
72,test,166.35553592461721,94.7,196.96198684569885,5.9,1785.0,53.1,224.2
73,train,284.3997600404142,118.3,614.858469472913,5.9,4641.0,59.0,236.0
73,validation,182.22789598108744,76.7,419.73517200792946,5.9,4165.0,47.3,165.8
73,test,295.3901227352425,94.7,695.6503240891267,11.8,4641.0,59.1,238.0
74,train,285.94034069400635,112.1,620.5142021214864,5.9,4641.0,59.0,236.8
74,validation,244.1941141848146,83.0,634.5541811283576,5.9,4641.0,47.4,195.45
74,test,226.66847377725398,100.6,481.471659626192,5.9,4289.9,56.2,201.7
75,train,272.6966431095407,117.9,567.4759658279289,5.9,4641.0,55.075,237.2
75,validation,313.75910693301995,94.4,812.1414798545379,5.9,4641.0,59.0,214.2
75,test,218.73345132743364,94.7,517.1798174116655,5.9,4391.1,47.4,177.6
76,train,273.93409836065575,106.1,597.8944473801973,5.9,4641.0,50.625,236.5
76,validation,302.14237588652486,94.4,763.1159064658218,5.9,4343.5,55.2,201.0
76,test,224.89529134785167,106.6,427.09286316972447,5.9,4641.0,59.2,236.8
77,train,262.4025974025974,101.4,574.3271052934167,5.9,4391.1,54.25,235.9
77,validation,233.10969267139478,95.2,513.0083301250277,5.9,4117.4,59.0,242.4
77,test,347.5163722025913,94.9,790.5320717064525,11.8,4641.0,47.6,201.125
78,train,304.0692958101969,129.7,648.5463262142127,5.9,4641.0,59.0,237.39999999999998
78,validation,224.15168938944873,94.4,558.0853493831709,5.9,4289.9,47.6,189.8
78,test,162.59087719298248,71.05,377.96334060958065,5.9,4391.1,47.4,176.9
79,train,296.90853212167104,106.2,675.0637978287747,5.9,4641.0,59.0,236.0
79,validation,173.2397533763946,88.5,338.7939089954865,5.9,4641.0,47.4,201.6
79,test,246.7172861356932,106.6,425.1142816441266,5.9,4165.0,53.3,284.35
80,train,302.0969104665826,118.4,653.722649966418,5.9,4641.0,55.5,237.2
80,validation,149.16261075014765,84.1,297.7334242122975,5.9,4641.0,53.5,177.0
80,test,245.85312131919903,94.4,575.4209727290846,11.8,4391.1,47.6,212.3
81,train,281.57191365816715,118.3,626.9166290850445,5.9,4641.0,56.5,236.8
81,validation,251.8657260435038,94.7,541.2215508251192,5.9,3986.5,59.0,177.6
81,test,239.4482332155477,82.6,553.5164080152226,5.9,4641.0,47.4,212.4
82,train,281.3983499181257,117.9,612.685228446888,5.9,4641.0,56.2,236.0
82,validation,160.43425871234496,94.4,272.5902184496749,5.9,3927.0,47.6,201.3
82,test,331.546891651865,94.6,770.0614382711248,5.9,4641.0,53.4,294.9
83,train,273.1944991168307,106.4,571.6428032221969,5.9,4343.5,56.2,237.2
83,validation,269.49251179245283,82.8,709.5587800659451,5.9,4641.0,47.4,177.6
83,test,260.87139493819893,95.2,637.897291880206,11.8,4641.0,59.25,213.25
84,train,293.00006310740883,117.9,640.0758261034997,5.9,4641.0,53.45,237.2
84,validation,167.60734430082258,94.6,362.2152825788604,5.9,4165.0,59.0,178.35
84,test,270.5850235849057,94.7,616.1147138713134,5.9,4641.0,53.1,216.375
85,train,273.1115156860275,112.4,621.3747479217113,5.9,4641.0,55.4,236.8
85,validation,284.67340425531916,94.7,606.8522624256357,5.9,4165.0,59.075,206.4
85,test,246.02003546099291,83.15,513.5334811452161,11.8,3808.0,47.4,201.7
86,train,282.89689707366296,117.9,609.0847914965987,5.9,4641.0,59.0,236.8
86,validation,172.40683559222157,85.1,320.5751179711386,11.8,4165.0,47.4,178.5
86,test,312.6405660377359,83.3,767.5543689558923,5.9,4641.0,47.4,225.225
87,train,282.0253467843632,106.2,629.8164815239484,5.9,4641.0,56.3,236.8
87,validation,249.14820058997051,94.9,538.6825981099631,5.9,4641.0,47.6,230.0
87,test,239.88926886792453,96.25,539.8969006488207,5.9,4289.9,47.6,189.475
88,train,261.80760595358225,100.6,592.0010528933968,5.9,4641.0,53.5,230.0
88,validation,264.34194690265485,94.6,616.9783138557987,11.8,4641.0,50.75,235.9
