product_id,listing_count,mean_price,median_price,std_price,price_variance,coefficient_of_variation,min_price,max_price,price_range
65114104,6,390.6,390.5,1.2111,1.4667,0.0031,389.2,392.7,3.5
63350083,6,378.9333,379.15,1.194,1.4256,0.0032,377.4,380.8,3.4
62657264,6,378.7667,378.65,1.187,1.4089,0.0031,377.4,380.8,3.4
65869207,6,378.7667,378.65,1.187,1.4089,0.0031,377.4,380.8,3.4
53367213,6,366.9167,366.8,1.1452,1.3114,0.0031,365.6,368.9,3.3
54245153,6,366.9167,366.8,1.1452,1.3114,0.0031,365.6,368.9,3.3
54253106,6,366.9167,366.8,1.1452,1.3114,0.0031,365.6,368.9,3.3
55170665,6,366.9167,366.8,1.1452,1.3114,0.0031,365.6,368.9,3.3
61787665,6,366.9167,366.8,1.1452,1.3114,0.0031,365.6,368.9,3.3
53398890,6,355.2333,355.4,1.1205,1.2556,0.0032,353.8,357.0,3.2
63350267,6,355.2333,355.4,1.1205,1.2556,0.0032,353.8,357.0,3.2
64546406,6,355.2333,355.4,1.1205,1.2556,0.0032,353.8,357.0,3.2
65399938,6,355.2333,355.4,1.1205,1.2556,0.0032,353.8,357.0,3.2
66223983,6,355.2333,355.4,1.1205,1.2556,0.0032,353.8,357.0,3.2
66434290,6,355.2333,355.4,1.1205,1.2556,0.0032,353.8,357.0,3.2
54315789,6,362.2,362.1,1.1165,1.2467,0.0031,360.9,364.1,3.2
53420634,6,355.1,355.0,1.1165,1.2467,0.0031,353.8,357.0,3.2
53840962,6,355.1,355.0,1.1165,1.2467,0.0031,353.8,357.0,3.2
53858012,6,355.1,355.0,1.1165,1.2467,0.0031,353.8,357.0,3.2
53894970,6,355.1,355.0,1.1165,1.2467,0.0031,353.8,357.0,3.2
53894983,6,355.1,355.0,1.1165,1.2467,0.0031,353.8,357.0,3.2
53905737,6,355.1,355.0,1.1165,1.2467,0.0031,353.8,357.0,3.2
54035214,6,355.1,355.0,1.1165,1.2467,0.0031,353.8,357.0,3.2
54069568,6,355.1,355.0,1.1165,1.2467,0.0031,353.8,357.0,3.2
54487372,6,355.1,355.0,1.1165,1.2467,0.0031,353.8,357.0,3.2
54582425,6,355.1,355.0,1.1165,1.2467,0.0031,353.8,357.0,3.2
54669113,6,355.1,355.0,1.1165,1.2467,0.0031,353.8,357.0,3.2
56915273,6,355.1,355.0,1.1165,1.2467,0.0031,353.8,357.0,3.2
60228190,6,355.1,355.0,1.1165,1.2467,0.0031,353.8,357.0,3.2
60226014,5,319.56,319.3,1.1056,1.2224,0.0035,318.4,321.3,2.9
63083525,6,343.4,343.6,1.0847,1.1767,0.0032,342.0,345.1,3.1
53859698,6,343.2667,343.2,1.0765,1.1589,0.0031,342.0,345.1,3.1
66546356,6,337.45,337.6,1.0532,1.1092,0.0031,336.1,339.1,3.0
62564689,6,337.3333,337.25,1.0467,1.0956,0.0031,336.1,339.1,3.0
56326691,6,331.5333,331.7,1.0435,1.0889,0.0031,330.2,333.2,3.0
66209839,6,331.5333,331.7,1.0435,1.0889,0.0031,330.2,333.2,3.0
64528096,3,590.5333,589.9,1.0403,1.0822,0.0018,589.7,592.0,2.3
