product_id,part_name,price,quality_grade,year,oem_number,engine_code,mileage,brand,model,category,subcategory,scrape_date,scrape_timestamp
54388737,Side airbags -(Left),95.9,A2,2005-2013,FI06376738A,,156000,Skoda,Octavia,Airbag,All,2026-02-03,2026-02-03T13:13:31+02:00
64592399,ABS Hydraulic Aggregate -,710.4,A2,2020-2027,FI27837687A,,103000,Skoda,Octavia,Brakes,ABS Hydraulic Aggregate,2026-02-03,2026-02-03T13:13:31+02:00
54214832,ABS Hydraulic Aggregate -,669.0,A1,2013-2020,FI09389104A,,50000,Skoda,Octavia,Brakes,ABS Hydraulic Aggregate,2026-02-03,2026-02-03T13:13:31+02:00
54284957,ABS Hydraulic Aggregate -,669.0,A1,2013-2020,FI09389104A,,8000,Skoda,Octavia,Brakes,ABS Hydraulic Aggregate,2026-02-03,2026-02-03T13:13:31+02:00
54672150,ABS Hydraulic Aggregate -,651.2,A2,2020-2027,FI23857664A,,30000,Skoda,Octavia,Brakes,ABS Hydraulic Aggregate,2026-02-03,2026-02-03T13:13:31+02:00
54222147,ABS Hydraulic Aggregate -,609.8,A1,2013-2020,FI09389104A,,20000,Skoda,Octavia,Brakes,ABS Hydraulic Aggregate,2026-02-03,2026-02-03T13:13:31+02:00
54259590,ABS Hydraulic Aggregate -,609.8,A1,2013-2020,FI09389104A,,28000,Skoda,Octavia,Brakes,ABS Hydraulic Aggregate,2026-02-03,2026-02-03T13:13:31+02:00
54280193,ABS Hydraulic Aggregate -,609.8,A1,2013-2020,FI09389104A,,50000,Skoda,Octavia,Brakes,ABS Hydraulic Aggregate,2026-02-03,2026-02-03T13:13:31+02:00
54283115,ABS Hydraulic Aggregate -,609.8,A1,2013-2020,FI09389104A,,40000,Skoda,Octavia,Brakes,ABS Hydraulic Aggregate,2026-02-03,2026-02-03T13:13:31+02:00
55648835,ABS Hydraulic Aggregate -,609.8,A2,2013-2020,FI09389104A,,71000,Skoda,Octavia,Brakes,ABS Hydraulic Aggregate,2026-02-03,2026-02-03T13:13:31+02:00
55178794,ABS Hydraulic Aggregate -,592.0,A2,2013-2020,FI02042722A,,232000,Skoda,Octavia,Brakes,ABS Hydraulic Aggregate,2026-02-03,2026-02-03T13:13:31+02:00
53372175,ABS Hydraulic Aggregate -,580.2,A1,2013-2020,FI27837687A,,7000,Skoda,Octavia,Brakes,ABS Hydraulic Aggregate,2026-02-03,2026-02-03T13:13:31+02:00
53486669,ABS Hydraulic Aggregate -,580.2,A2,2013-2020,FI27837687A,,53000,Skoda,Octavia,Brakes,ABS Hydraulic Aggregate,2026-02-03,2026-02-03T13:13:31+02:00
63309445,ABS Hydraulic Aggregate -,580.2,A2,2013-2020,FI24637030A,04L,156000,Skoda,Octavia,Brakes,ABS Hydraulic Aggregate,2026-02-03,2026-02-03T13:13:31+02:00
59328403,ABS Hydraulic Aggregate -,580.2,A2,2013-2020,FI27837687A,,95000,Skoda,Octavia,Brakes,ABS Hydraulic Aggregate,2026-02-03,2026-02-03T13:13:31+02:00
53498680,ABS Hydraulic Aggregate -,568.3,A2,2013-2020,FI27837687A,,33000,Skoda,Octavia,Brakes,ABS Hydraulic Aggregate,2026-02-03,2026-02-03T13:13:31+02:00
